
118813069318813 - 15 digitos
1035898302479437 - 16 digitos
10768252274445931 - 17 digitos

digitos, peers, time
15, 1, 5.1
15, 2, 2.120
15, 3, 2.105
16, 1, 16.16
16, 2, 5.13
16, 3, 4.12
17, 1, 50.3
17, 2, 14.2
17, 3, 11.1



digitos, peers, cpu
15, 1, 1.016
15, 2, 0.975
15, 3, 1.008  
16, 1, 1.016
16, 2, 1.009
16, 3, 1.052 
17, 1, 1.015 
17, 2, 1.006
17, 3, 0.999 
Statistics -> Endpoints -> Display filter o

(((ip.src==192.168.0.26 || ip.src==192.168.0.28 || ip.src==192.168.0.12) && (ip.dst==192.168.0.12 || ip.dst==192.168.0.26 || ip.dst==192.168.0.28)) || ((ip.src==192.168.0.26 || ip.src==192.168.0.28 || ip.src==192.168.0.12) && (ip.dst==192.168.0.12 || ip.dst==192.168.0.26 || ip.dst==192.168.0.28))) && tcpnly
